[2025-03-27 21:12:10] Epoch 1/100 | Train Loss: 18.6551 | Val Loss: 0.1786 | ROC AUC: 0.970 | PR AUC: 0.793 | MCC: 0.635
[2025-03-27 21:12:11] Epoch 2/100 | Train Loss: 6.2902 | Val Loss: 0.3502 | ROC AUC: 0.970 | PR AUC: 0.747 | MCC: 0.465
[2025-03-27 21:12:12] Epoch 3/100 | Train Loss: 4.2585 | Val Loss: 0.6204 | ROC AUC: 0.963 | PR AUC: 0.768 | MCC: 0.383
[2025-03-27 21:12:13] Epoch 4/100 | Train Loss: 3.1035 | Val Loss: 0.3733 | ROC AUC: 0.988 | PR AUC: 0.917 | MCC: 0.421
[2025-03-27 21:12:15] Epoch 5/100 | Train Loss: 2.5989 | Val Loss: 0.4706 | ROC AUC: 0.988 | PR AUC: 0.917 | MCC: 0.401
[2025-03-27 21:12:16] Epoch 6/100 | Train Loss: 2.1586 | Val Loss: 0.3698 | ROC AUC: 0.994 | PR AUC: 0.950 | MCC: 0.442
[2025-03-27 21:12:17] Epoch 7/100 | Train Loss: 1.9556 | Val Loss: 0.5618 | ROC AUC: 0.988 | PR AUC: 0.917 | MCC: 0.383
[2025-03-27 21:12:18] Epoch 8/100 | Train Loss: 1.5877 | Val Loss: 0.3411 | ROC AUC: 0.994 | PR AUC: 0.950 | MCC: 0.490
[2025-03-27 21:12:19] Epoch 9/100 | Train Loss: 1.4893 | Val Loss: 0.4877 | ROC AUC: 0.994 | PR AUC: 0.950 | MCC: 0.421
[2025-03-27 21:12:21] Epoch 10/100 | Train Loss: 1.2094 | Val Loss: 0.4954 | ROC AUC: 0.994 | PR AUC: 0.950 | MCC: 0.421
[2025-03-27 21:12:22] Epoch 11/100 | Train Loss: 0.9703 | Val Loss: 0.3788 | ROC AUC: 0.994 | PR AUC: 0.950 | MCC: 0.490
[2025-03-27 21:12:23] Epoch 12/100 | Train Loss: 0.8767 | Val Loss: 0.5212 | ROC AUC: 0.994 | PR AUC: 0.950 | MCC: 0.442
[2025-03-27 21:12:24] Epoch 13/100 | Train Loss: 0.8441 | Val Loss: 0.3599 | ROC AUC: 0.994 | PR AUC: 0.950 | MCC: 0.518
[2025-03-27 21:12:25] Epoch 14/100 | Train Loss: 0.6687 | Val Loss: 0.4270 | ROC AUC: 0.994 | PR AUC: 0.950 | MCC: 0.465
[2025-03-27 21:12:26] Epoch 15/100 | Train Loss: 0.6193 | Val Loss: 0.4938 | ROC AUC: 1.000 | PR AUC: 1.000 | MCC: 0.442
[2025-03-27 21:12:27] Epoch 16/100 | Train Loss: 0.5326 | Val Loss: 0.4488 | ROC AUC: 1.000 | PR AUC: 1.000 | MCC: 0.465
[2025-03-27 21:12:29] Epoch 17/100 | Train Loss: 0.4713 | Val Loss: 0.4499 | ROC AUC: 1.000 | PR AUC: 1.000 | MCC: 0.465
[2025-03-27 21:12:30] Epoch 18/100 | Train Loss: 0.3786 | Val Loss: 0.4953 | ROC AUC: 1.000 | PR AUC: 1.000 | MCC: 0.465
[2025-03-27 21:12:31] Epoch 19/100 | Train Loss: 0.3433 | Val Loss: 0.6287 | ROC AUC: 1.000 | PR AUC: 1.000 | MCC: 0.442
[2025-03-27 21:12:32] Epoch 20/100 | Train Loss: 0.3159 | Val Loss: 0.5888 | ROC AUC: 1.000 | PR AUC: 1.000 | MCC: 0.442
[2025-03-27 21:12:33] Epoch 21/100 | Train Loss: 0.2706 | Val Loss: 0.4388 | ROC AUC: 1.000 | PR AUC: 1.000 | MCC: 0.518
[2025-03-27 21:12:34] Epoch 22/100 | Train Loss: 0.2121 | Val Loss: 0.5566 | ROC AUC: 1.000 | PR AUC: 1.000 | MCC: 0.465
[2025-03-27 21:12:36] Epoch 23/100 | Train Loss: 0.1980 | Val Loss: 0.5225 | ROC AUC: 1.000 | PR AUC: 1.000 | MCC: 0.490
[2025-03-27 21:12:37] Epoch 24/100 | Train Loss: 0.1511 | Val Loss: 0.5246 | ROC AUC: 1.000 | PR AUC: 1.000 | MCC: 0.465
