[2025-03-26 15:24:31] Epoch 1/100 | Train Loss: 2691.1896 | Val Loss: 345.0211 | ROC AUC: 0.986 | PR AUC: 0.869 | MCC: 0.554
[2025-03-26 15:25:25] Epoch 2/100 | Train Loss: 1647.7820 | Val Loss: 113.6575 | ROC AUC: 0.984 | PR AUC: 0.876 | MCC: 0.772
[2025-03-26 15:26:21] Epoch 3/100 | Train Loss: 1399.3371 | Val Loss: 126.0855 | ROC AUC: 0.984 | PR AUC: 0.876 | MCC: 0.731
[2025-03-26 15:27:15] Epoch 4/100 | Train Loss: 1390.4266 | Val Loss: 99.0708 | ROC AUC: 0.982 | PR AUC: 0.873 | MCC: 0.759
[2025-03-26 15:28:09] Epoch 5/100 | Train Loss: 1362.3008 | Val Loss: 204.8453 | ROC AUC: 0.983 | PR AUC: 0.874 | MCC: 0.596
[2025-03-26 15:29:01] Epoch 6/100 | Train Loss: 1298.5048 | Val Loss: 88.2200 | ROC AUC: 0.977 | PR AUC: 0.862 | MCC: 0.736
[2025-03-26 15:29:57] Epoch 7/100 | Train Loss: 1357.1067 | Val Loss: 117.5679 | ROC AUC: 0.980 | PR AUC: 0.868 | MCC: 0.728
[2025-03-26 15:30:49] Epoch 8/100 | Train Loss: 1259.9503 | Val Loss: 96.9857 | ROC AUC: 0.978 | PR AUC: 0.864 | MCC: 0.751
[2025-03-26 15:31:42] Epoch 9/100 | Train Loss: 1282.8035 | Val Loss: 88.2678 | ROC AUC: 0.975 | PR AUC: 0.855 | MCC: 0.767
[2025-03-26 15:32:36] Epoch 10/100 | Train Loss: 1243.0080 | Val Loss: 287.9578 | ROC AUC: 0.980 | PR AUC: 0.869 | MCC: 0.525
[2025-03-26 15:33:30] Epoch 11/100 | Train Loss: 1206.3096 | Val Loss: 95.9802 | ROC AUC: 0.974 | PR AUC: 0.851 | MCC: 0.708
[2025-03-26 15:34:22] Epoch 12/100 | Train Loss: 1217.3138 | Val Loss: 93.4813 | ROC AUC: 0.976 | PR AUC: 0.859 | MCC: 0.778
[2025-03-26 15:35:13] Epoch 13/100 | Train Loss: 1193.1554 | Val Loss: 101.9581 | ROC AUC: 0.972 | PR AUC: 0.848 | MCC: 0.685
[2025-03-26 15:36:05] Epoch 14/100 | Train Loss: 1155.8211 | Val Loss: 89.6942 | ROC AUC: 0.974 | PR AUC: 0.854 | MCC: 0.773
[2025-03-26 15:36:57] Epoch 15/100 | Train Loss: 1138.0451 | Val Loss: 129.5934 | ROC AUC: 0.977 | PR AUC: 0.863 | MCC: 0.714
[2025-03-26 15:37:52] Epoch 16/100 | Train Loss: 1113.2004 | Val Loss: 134.9701 | ROC AUC: 0.978 | PR AUC: 0.865 | MCC: 0.697
[2025-03-26 15:38:46] Epoch 17/100 | Train Loss: 1095.5411 | Val Loss: 210.8553 | ROC AUC: 0.978 | PR AUC: 0.866 | MCC: 0.590
[2025-03-26 15:39:38] Epoch 18/100 | Train Loss: 1101.7026 | Val Loss: 89.5140 | ROC AUC: 0.973 | PR AUC: 0.853 | MCC: 0.773
[2025-03-26 15:40:31] Epoch 19/100 | Train Loss: 1090.6771 | Val Loss: 162.0412 | ROC AUC: 0.979 | PR AUC: 0.869 | MCC: 0.647
[2025-03-26 15:41:23] Epoch 20/100 | Train Loss: 1109.6271 | Val Loss: 104.0287 | ROC AUC: 0.974 | PR AUC: 0.859 | MCC: 0.754
[2025-03-26 15:42:13] Epoch 21/100 | Train Loss: 1084.4308 | Val Loss: 220.6698 | ROC AUC: 0.977 | PR AUC: 0.863 | MCC: 0.585
[2025-03-26 15:43:03] Epoch 22/100 | Train Loss: 1088.8798 | Val Loss: 101.2506 | ROC AUC: 0.977 | PR AUC: 0.866 | MCC: 0.746
[2025-03-26 15:43:53] Epoch 23/100 | Train Loss: 1081.7157 | Val Loss: 136.6583 | ROC AUC: 0.974 | PR AUC: 0.854 | MCC: 0.712
